,mnist_LeNet5,mnist_LeNet1,fashion_LeNet1,fashion_resNet20,cifar_vgg16,cifar_resNet20,svhn_LeNet5,svhn_vgg16
DeepDAC,39.835,44.385,53.765,54.330,53.125,64.415,62.589,44.330
DeepDAC-var1,37.225,39.655,53.125,52.500,48.860,60.675,55.067,40.012
DeepDAC-var2,42.985,42.385,53.060,51.565,53.480,63.425,61.452,44.796
DeepDAC-var3,15.900,16.275,31.175,30.385,21.605,36.825,23.175,10.636
