,mnist_LeNet5,mnist_LeNet1,fashion_LeNet1,fashion_resNet20,cifar_vgg16,cifar_resNet20,svhn_LeNet5,svhn_vgg16
DeepDAC,44.453,47.807,55.127,54.927,55.133,65.073,64.154,47.653
DeepDAC-var1,39.660,41.233,54.540,53.733,50.560,61.327,56.192,42.656
DeepDAC-var2,46.627,45.587,54.680,52.760,54.907,64.140,62.950,47.863
DeepDAC-var3,16.033,16.347,30.867,30.553,21.620,37.353,23.312,10.552
