,,,DeepDAC,DeepDiv,DeepDiv,Gini,Gini,CES,CES,LSA,LSA,MAX_P,MAX_P,var_rank,var_rank,msp_gini,msp_gini,entrory_dropout_rank,entrory_dropout_rank,CLUE_sample,CLUE_sample,NAC,NAC,NBC,NBC,SNAC,SNAC,TKNC,TKNC,Random,Random
,,,acc,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value
Select 5%,caltech,resNet20,0.038512146,0.039662997,,0.032018109,好,0.028226491,好,0.020355546,好,0.033888233,好,0.037700391,,0.038440224,,0.035758348,,0.041440634,差,0.027270885,好,0.033898505,好,0.028637505,好,0.032295537,好,0.032696283,好
Select 5%,caltech,resNet32,0.037063309,0.034258123,好,0.030261008,好,0.027949051,好,0.025339111,好,0.031925619,好,0.031627627,好,0.033497755,好,0.030240464,好,0.035367866,,0.02773327,好,0.022215382,好,0.025801488,好,0.02553434,好,0.023427884,好
Select 7.5%,mnist,LeNet5,0.049206658,0.04862833,,0.031669994,好,0.032561664,好,0.047489993,好,0.034613339,好,0.051018329,差,0.034726671,好,0.030479999,好,0.044314996,好,0.030361688,好,0.03120002,好,0.031490012,好,0.032311682,好,0.031611665,好
Select 7.5%,mnist,LeNet1,0.049404979,0.049158311,,0.038334974,好,0.02453498,好,0.041551642,好,0.040308305,好,0.039768306,好,0.040978309,好,0.040006646,好,0.042649984,好,0.031268307,好,0.031776639,好,0.031644976,好,0.032171643,好,0.032566647,好
Select 7.5%,fashion,LeNet1,0.041015025,0.041001681,,0.036196677,好,0.025828346,好,0.028993348,好,0.037738351,好,0.035653349,好,0.03594168,好,0.033150009,好,0.033220017,好,0.029840004,好,0.028623339,好,0.027488347,好,0.030501676,好,0.02972002,好
Select 7.5%,fashion,resNet20,0.051461673,0.050676672,,0.045033344,好,0.039628347,好,0.033098348,好,0.047901682,,0.047683346,,0.050005003,,0.047545008,好,0.047688341,好,0.026491646,好,0.02494332,好,0.025273319,好,0.026666649,好,0.042968349,好
Select 7.5%,cifar,vgg16,0.037988337,0.034726671,,0.034823342,好,0.028948343,好,0.022938331,好,0.035966667,好,0.035543338,,0.034860003,好,0.034726663,好,0.033511666,好,0.026846647,好,0.027026649,好,0.026869988,好,-0.018886684,好,0.024310009,好
Select 7.5%,cifar,resNet20,0.024264979,0.026513322,,0.022063319,,0.024121658,,0.013016649,好,0.025639991,,0.024406652,,0.025888312,,0.02910165,,0.022083318,,0.023653332,,0.019886669,好,0.016920006,好,0.019245005,,0.020979993,
Select 7.5%,svhn,LeNet5,0.0371152,0.032985659,好,0.028221647,好,0.015052605,好,0.020995283,好,0.03147982,好,0.029400969,好,0.028415652,好,0.028536006,好,0.030639191,好,0.017944558,好,0.018847307,好,0.017524568,好,0.018087331,好,0.018348547,好
Select 7.5%,svhn,vgg16,0.044828796,0.043253807,,0.037581948,好,0.032365294,好,0.017486811,好,0.039308019,好,0.041648094,好,0.038587761,好,0.036604305,好,0.035197063,好,0.027060926,好,0.027150559,好,0.026512885,好,0.028356771,好,0.027950215,好
Select 7.5%,cifar100,resNet20,0.019671657,0.017743327,,0.017036659,,0.016363321,,0.012034988,好,0.017813327,,0.017153325,,0.015024994,好,0.017958331,,0.018553327,,0.01718,,0.014678323,好,0.018283327,,0.012533323,好,0.015956658,
Select 7.5%,cifar100,resNet32,0.023246672,0.022861677,,0.018398343,,0.017141678,好,0.007791674,好,0.016378341,,0.01756501,,0.01507834,好,0.016838344,,0.010843341,好,0.013078342,好,0.017576683,,0.016596675,好,0.017320009,,0.011943344,好
