,mnist_LeNet5,mnist_LeNet1,fashion_LeNet1,fashion_resNet20,cifar_vgg16,cifar_resNet20,svhn_LeNet5,svhn_vgg16
DeepDAC,49.130,50.730,57.210,56.420,57.020,67.100,65.786,51.260
DeepDAC-var1,42.490,43.310,56.410,55.260,52.170,63.440,57.234,45.509
DeepDAC-var2,51.190,48.960,56.530,54.360,57.440,65.610,64.406,51.191
DeepDAC-var3,16.080,16.620,30.760,30.540,21.970,37.420,23.438,10.569
