,mnist_LeNet5,mnist_LeNet1,fashion_LeNet1,fashion_resNet20,cifar_vgg16,cifar_resNet20,svhn_LeNet5,svhn_vgg16
DeepDAC,53.600,55.060,60.000,58.080,60.260,68.660,67.438,56.066
DeepDAC-var1,44.380,44.960,58.840,56.360,55.700,64.740,58.509,49.051
DeepDAC-var2,55.140,53.500,58.760,55.840,59.920,67.400,65.947,56.066
DeepDAC-var3,16.100,16.860,30.640,30.660,22.280,36.560,23.250,10.741
