,,,DeepDAC,DeepDiv,DeepDiv,Gini,Gini,CES,CES,LSA,LSA,MAX_P,MAX_P,var_rank,var_rank,msp_gini,msp_gini,entrory_dropout_rank,entrory_dropout_rank,CLUE_sample,CLUE_sample,NAC,NAC,NBC,NBC,SNAC,SNAC,TKNC,TKNC,Random,Random
,,,acc,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value,acc,p_value
Select 5%,fashion,LeNet1,0.034761691,0.033228358,0.036499023,0.029511678,3.05E-05,0.020550021,3.05E-05,0.021908347,3.05E-05,0.030916687,3.05E-05,0.029006684,3.05E-05,0.029153347,3.05E-05,0.025708354,3.05E-05,0.027933351,3.05E-05,0.023943337,3.05E-05,0.024080006,3.05E-05,0.021409996,3.05E-05,0.025985006,3.05E-05,0.024093354,3.05E-05
Select 5%,fashion,resNet20,0.044645011,0.045250014,0.511016846,0.037816679,0.015075684,0.033543344,0.000762939,0.028786671,0.000152588,0.041853336,0.210601807,0.038410012,0.023956299,0.043115012,0.319335938,0.040728347,0.075714111,0.038443347,0.007537842,0.020869986,3.05E-05,0.021544985,9.16E-05,0.020748317,3.05E-05,0.022249981,3.05E-05,0.034275019,0.007537842
Select 5%,cifar,vgg16,0.03289334,0.031940003,0.047302246,0.029376662,0.000579834,0.024536673,3.05E-05,0.019878328,3.05E-05,0.030161671,0.007537842,0.029355005,0.00100708,0.025530001,0.000152588,0.02947667,0.002142848,0.027978345,3.05E-05,0.019993317,3.05E-05,0.022198315,3.05E-05,0.021573317,3.05E-05,0.023956652,3.05E-05,0.022763336,3.05E-05
Select 5%,cifar,resNet20,0.024456644,0.022754975,0.401977539,0.02250332,0.227142334,0.013074978,0.012786865,0.016109995,0.084411621,0.020853321,0.17956543,0.02010498,0.126190186,0.020088315,0.210601807,0.020969995,0.262237549,0.018446652,0.210601807,0.014080004,0.015075684,0.016283341,0.075714111,0.011366669,0.005126953,0.015255002,0.036499023,0.019558314,0.012786865
Select 5%,svhn,LeNet5,0.027376548,0.023222037,0.010772705,0.020597704,3.05E-05,0.008913374,3.05E-05,0.014613406,3.05E-05,0.022616374,0.00100708,0.020638037,0.012786865,0.020315997,3.05E-05,0.018355596,3.05E-05,0.020874286,3.05E-05,0.011832209,3.05E-05,0.012750959,3.05E-05,0.010990953,3.05E-05,0.011417985,3.05E-05,0.010733557,3.05E-05
Select 5%,svhn,vgg16,0.040048142,0.038067242,0.023956299,0.031188536,0.000579834,0.028243438,3.05E-05,0.014694091,3.05E-05,0.032622663,0.00100708,0.036948113,0.010772705,0.031169331,0.001678467,0.029684611,0.000152588,0.029902935,3.05E-05,0.022718839,3.05E-05,0.021828262,3.05E-05,0.022696428,3.05E-05,0.023427578,3.05E-05,0.022319965,3.05E-05
Select 5%,cifar100,resNet20,0.016178324,0.01194999,0.151397705,0.012468324,0.165130615,0.004868325,0.000152588,0.006568323,0.000427246,0.013511656,0.103881836,0.015539992,0.467041016,0.013413326,0.138427734,0.010169995,0.036499023,0.016693326,0.55480957,0.012729994,0.210601807,0.013279992,0.138427734,0.015633333,0.423461914,0.013186663,0.17956543,0.01052166,0.020629883
Select 5%,cifar100,resNet32,0.014520011,0.013755006,0.401977539,0.015341677,0.598022461,0.014211679,0.660614014,0.003458337,0.000762939,0.011493343,0.126190186,0.013435006,0.262237549,0.010296673,0.075714111,0.016750004,0.737762451,0.011296674,0.194702148,0.008738343,0.067687988,0.013608338,0.55480957,0.010790012,0.299743652,0.014066674,0.789398193,0.009518341,0.067687988
Select 5%,caltech,resNet20,0.038512146,0.039662997,0.834869385,0.032018109,0.00100708,0.028226491,3.05E-05,0.020355546,3.05E-05,0.033888233,0.003356934,0.037700391,0.280700684,0.038440224,0.700256348,0.035758348,0.339385986,0.041440634,0.994873047,0.027270885,6.10E-05,0.033898505,0.00213623,0.028637505,6.10E-05,0.032295537,3.05E-05,0.032696283,0.00100708
Select 5%,caltech,resNet32,0.037063309,0.034258123,0.010772705,0.030261008,0.00073689,0.027949051,3.05E-05,0.025339111,0.000762939,0.031925619,0.001312256,0.031627627,0.000762939,0.033497755,0.017669678,0.030240464,0.000427246,0.035367866,0.060272217,0.02773327,3.05E-05,0.022215382,3.05E-05,0.025801488,3.05E-05,0.02553434,3.05E-05,0.023427884,3.05E-05
Select 7.5%,mnist,LeNet5,0.049206658,0.04862833,0.17956543,0.031669994,0.004180908,0.032561664,3.05E-05,0.047489993,0.027679443,0.034613339,0.010772705,0.051018329,0.995819092,0.034726671,0.012786865,0.030479999,0.010772705,0.044314996,6.10E-05,0.030361688,3.05E-05,0.03120002,3.05E-05,0.031490012,3.05E-05,0.032311682,3.05E-05,0.031611665,3.05E-05
Select 7.5%,mnist,LeNet1,0.049404979,0.049158311,0.359863281,0.038334974,0.00213623,0.02453498,3.05E-05,0.041551642,3.05E-05,0.040308305,0.003356934,0.039768306,3.05E-05,0.040978309,0.009033203,0.040006646,0.012786865,0.042649984,3.05E-05,0.031268307,3.05E-05,0.031776639,3.05E-05,0.031644976,3.05E-05,0.032171643,3.05E-05,0.032566647,3.05E-05
Select 7.5%,fashion,LeNet1,0.041015025,0.041001681,0.55480957,0.036196677,3.05E-05,0.025828346,3.05E-05,0.028993348,3.05E-05,0.037738351,6.10E-05,0.035653349,6.10E-05,0.03594168,0.000152588,0.033150009,3.05E-05,0.033220017,6.10E-05,0.029840004,3.05E-05,0.028623339,3.05E-05,0.027488347,3.05E-05,0.030501676,3.05E-05,0.02972002,3.05E-05
Select 7.5%,fashion,resNet20,0.051461673,0.050676672,0.55480957,0.045033344,0.023956299,0.039628347,9.16E-05,0.033098348,3.05E-05,0.047901682,0.053497314,0.047683346,0.103881836,0.050005003,0.280700684,0.047545008,0.041625977,0.047688341,0.047302246,0.026491646,3.05E-05,0.02494332,3.05E-05,0.025273319,3.05E-05,0.026666649,3.05E-05,0.042968349,0.001678467
Select 7.5%,cifar,vgg16,0.037988337,0.034726671,0.227142334,0.034823342,0.00213623,0.028948343,3.05E-05,0.022938331,3.05E-05,0.035966667,0.006225586,0.035543338,0.060272217,0.034860003,0.00213623,0.034726663,0.015075684,0.033511666,0.000152588,0.026846647,3.05E-05,0.027026649,3.05E-05,0.026869988,3.05E-05,-0.018886684,3.05E-05,0.024310009,3.05E-05
Select 7.5%,cifar,resNet20,0.024264979,0.026513322,0.772857666,0.022063319,0.280700684,0.024121658,0.619232178,0.013016649,0.027679443,0.025639991,0.660614014,0.024406652,0.619232178,0.025888312,0.719299316,0.02910165,0.915588379,0.022083318,0.210601807,0.023653332,0.532958984,0.019886669,0.031860352,0.016920006,0.010772705,0.019245005,0.060272217,0.020979993,0.227142334
Select 7.5%,svhn,LeNet5,0.0371152,0.032985659,0.010772705,0.028221647,3.05E-05,0.015052605,3.05E-05,0.020995283,3.05E-05,0.03147982,0.000427246,0.029400969,0.00213623,0.028415652,3.05E-05,0.028536006,0.000152588,0.030639191,3.05E-05,0.017944558,3.05E-05,0.018847307,3.05E-05,0.017524568,3.05E-05,0.018087331,3.05E-05,0.018348547,3.05E-05
Select 7.5%,svhn,vgg16,0.044828796,0.043253807,0.060272217,0.037581948,0.00100708,0.032365294,3.05E-05,0.017486811,3.05E-05,0.039308019,0.000762939,0.041648094,0.00213623,0.038587761,0.006225586,0.036604305,0.000762939,0.035197063,3.05E-05,0.027060926,3.05E-05,0.027150559,3.05E-05,0.026512885,3.05E-05,0.028356771,3.05E-05,0.027950215,3.05E-05
Select 7.5%,cifar100,resNet20,0.019671657,0.017743327,0.359863281,0.017036659,0.084411621,0.016363321,0.17956543,0.012034988,0.006225586,0.017813327,0.235168898,0.017153325,0.359863281,0.015024994,0.036796962,0.017958331,0.401977539,0.018553327,0.319335938,0.01718,0.244354248,0.014678323,0.036499023,0.018283327,0.467041016,0.012533323,0.005126953,0.015956658,0.093811035
Select 7.5%,cifar100,resNet32,0.023246672,0.022861677,0.401977539,0.018398343,0.093811035,0.017141678,0.027679443,0.007791674,0.000152588,0.016378341,0.060272217,0.01756501,0.103881836,0.01507834,0.023956299,0.016838344,0.093811035,0.010843341,0.000579834,0.013078342,0.009033203,0.017576683,0.060272217,0.016596675,0.015075684,0.017320009,0.060272217,0.011943344,0.015075684
Select 7.5%,caltech,resNet20,0.048078525,0.046434474,0.225573735,0.041276228,0.00213623,0.036261841,3.05E-05,0.028062077,3.05E-05,0.042755882,0.001312256,0.045838487,0.067687988,0.045108946,0.041625977,0.042889464,0.194702148,0.051428298,0.987213135,0.03471026,3.05E-05,0.040464473,3.05E-05,0.037741494,3.05E-05,0.038234711,3.05E-05,0.038244991,3.05E-05
Select 7.5%,caltech,resNet32,0.045725457,0.03827581,9.16E-05,0.038419652,0.003356934,0.035706965,3.05E-05,0.031925611,3.05E-05,0.039385553,0.001678467,0.040957677,0.001678467,0.042509266,0.000427246,0.037566809,3.05E-05,0.043341573,0.036499023,0.033292246,3.05E-05,0.033199783,3.05E-05,0.029870538,3.05E-05,0.029356774,3.05E-05,0.032716831,3.05E-05
Select 10%,mnist,LeNet5,0.05301166,0.052660004,0.339385986,0.035924999,0.007537842,0.03597666,3.05E-05,0.052734995,0.339385986,0.039041666,0.010772705,0.05514334,0.990716644,0.039963333,0.007537842,0.034989997,0.00100708,0.048190002,3.05E-05,0.033960013,3.05E-05,0.034866679,3.05E-05,0.034825019,3.05E-05,0.035466671,3.05E-05,0.035429994,3.05E-05
Select 10%,mnist,LeNet1,0.053436641,0.054451644,0.834869385,0.044206643,0.010772705,0.027598317,3.05E-05,0.046283317,0.000305176,0.045598304,0.009033203,0.044983315,3.05E-05,0.045324985,0.010772705,0.044551643,0.010772705,0.047736637,3.05E-05,0.035469981,3.05E-05,0.035844978,3.05E-05,0.035044964,3.05E-05,0.035264973,3.05E-05,0.036789974,3.05E-05
Select 10%,fashion,LeNet1,0.044843344,0.044910014,0.55480957,0.04211003,0.000762939,0.030065016,3.05E-05,0.03275001,3.05E-05,0.042791684,0.003356934,0.039490016,0.00049077,0.042165013,0.000152588,0.03677669,3.05E-05,0.038486683,3.05E-05,0.033063332,3.05E-05,0.033906662,3.05E-05,0.032830008,3.05E-05,0.036121682,3.05E-05,0.033978359,3.05E-05
Select 10%,fashion,resNet20,0.058245015,0.057181676,0.467041016,0.053835018,0.020629883,0.048336673,3.05E-05,0.03767668,3.05E-05,0.05457501,0.067687988,0.052816677,0.005126953,0.054473348,0.151397705,0.049810008,0.003356934,0.052520009,0.015075684,0.030084987,3.05E-05,0.031971645,3.05E-05,0.031446652,3.05E-05,0.031934985,3.05E-05,0.045678341,3.05E-05
Select 10%,cifar,vgg16,0.041051662,0.041506672,0.380767822,0.040063334,0.138427734,0.032953338,9.16E-05,0.025148336,3.05E-05,0.039935017,0.114654541,0.041846673,0.873809814,0.040391672,0.15014494,0.039713335,0.17956543,0.040331666,0.067687988,0.030494988,6.10E-05,0.030989985,6.10E-05,0.030574989,6.10E-05,0.031519981,6.10E-05,0.030166674,6.10E-05
Select 10%,cifar,resNet20,0.036969984,0.027848327,0.006225586,0.028033304,0.047302246,0.027966654,0.012786865,0.016916649,0.000305176,0.031014983,0.126190186,0.027036651,0.023956299,0.036826654,0.467041016,0.030806645,0.067687988,0.032464985,0.036499023,0.022705007,0.00100708,0.023588336,0.000579834,0.026800005,0.020629883,0.023620001,0.007537842,0.023654985,0.001678467
Select 10%,svhn,LeNet5,0.044760275,0.040911166,0.012786865,0.036323222,3.05E-05,0.019540664,3.05E-05,0.02618314,3.05E-05,0.037369363,6.10E-05,0.035206008,0.001312256,0.036415418,0.000152588,0.036127945,0.000152588,0.03795071,3.05E-05,0.024759257,3.05E-05,0.024148468,3.05E-05,0.023161225,3.05E-05,0.02414335,3.05E-05,0.022992833,3.05E-05
Select 10%,svhn,vgg16,0.049373202,0.046401858,0.001678467,0.043201311,0.000305176,0.036495459,3.05E-05,0.020111771,3.05E-05,0.043722467,0.000152588,0.046038202,0.001312256,0.043297986,6.10E-05,0.041286361,0.000152588,0.039998202,3.05E-05,0.031025279,3.05E-05,0.030926045,3.05E-05,0.030401687,3.05E-05,0.031576526,3.05E-05,0.030837691,3.05E-05
Select 10%,cifar100,resNet20,0.024256655,0.024309987,0.319335938,0.019624986,0.009033203,0.01980166,0.114654541,0.015139989,0.005126953,0.023171661,0.401977539,0.025014991,0.619232178,0.021024992,0.210601807,0.020244994,0.103881836,0.021414993,0.194702148,0.020116649,0.060272217,0.017419988,0.015075684,0.01672499,0.031860352,0.019236654,0.031860352,0.02274999,0.339385986
Select 10%,cifar100,resNet32,0.023208348,0.020130006,0.151397705,0.020438341,0.151397705,0.019625012,0.151397705,0.012910006,0.004180908,0.020411682,0.401977539,0.021396679,0.319335938,0.016861677,0.084411621,0.026863343,0.789398193,0.013686673,0.012786865,0.017478341,0.041625977,0.020911674,0.339385986,0.023491681,0.700256348,0.021780006,0.280700684,0.022441681,0.44519043
Select 10%,caltech,resNet20,0.055137714,0.052055097,0.023956299,0.048890281,0.006225586,0.042355144,3.05E-05,0.035460357,3.05E-05,0.050565167,0.020629883,0.052435295,0.041625977,0.053647784,0.299743652,0.050390494,0.165130615,0.056083043,0.680664063,0.038964272,3.05E-05,0.048242939,0.000213623,0.043865617,3.05E-05,0.041800276,3.05E-05,0.043588189,3.05E-05
Select 10%,caltech,resNet32,0.052065368,0.04577684,3.05E-05,0.045396646,0.002685547,0.041800265,6.10E-05,0.038933432,3.05E-05,0.047287317,0.084411621,0.048222383,0.047302246,0.051541328,0.598022461,0.044286895,3.05E-05,0.051027556,0.151397705,0.036539276,3.05E-05,0.036847536,3.05E-05,0.035994665,3.05E-05,0.037145519,3.05E-05,0.038717647,3.05E-05
