name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
NAC,321.7349627017975,0.000800013542175293,0,823,1000,0.025
TKNC,302.5721347332001,0.012475013732910156,0,827,1000,0.025
NBC,316.4257960319519,-0.007175028324127197,0,784,1000,0.025
SNAC,315.2520270347595,0.013749957084655762,0,787,1000,0.025
NAC,297.9014627933502,0.005750000476837158,0,1676,2000,0.05
TKNC,295.66493463516235,0.004949986934661865,0,1678,2000,0.05
NBC,299.21777057647705,0.02695000171661377,0,1625,2000,0.05
SNAC,305.3420135974884,0.0212249755859375,0,1624,2000,0.05
NAC,304.50824999809265,0.0272749662399292,0,2525,3000,0.075
TKNC,303.65112686157227,0.018474996089935303,0,2511,3000,0.075
NBC,304.02085638046265,0.02647501230239868,0,2464,3000,0.075
SNAC,304.5109896659851,0.01282501220703125,0,2459,3000,0.075
NAC,307.08795714378357,0.02572500705718994,0,3358,4000,0.1
TKNC,308.01377749443054,0.03357499837875366,0,3353,4000,0.1
NBC,306.8538167476654,0.04047501087188721,0,3292,4000,0.1
SNAC,304.6669499874115,0.03834998607635498,0,3303,4000,0.1
