name,all,cur_select_size,cur_size_ratio,effect_len,mop,i,model_name,data_name,pair_name
DeepDiv,0.035899996757507324,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.035875022411346436,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.0344499945640564,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
CES,0.01924997568130493,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
Gini,0.0368499755859375,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
Random,0.01934999227523804,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.03605002164840698,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
LSA,0.03464996814727783,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.04804998636245728,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.046575009822845466,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.04554998874664306,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
CES,0.028400003910064694,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
Gini,0.044950008392333984,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
Random,0.03014999628067017,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.04897499084472656,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
LSA,0.04565000534057617,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.053924977779388435,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.05169999599456787,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.051524996757507324,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
CES,0.032949984073638916,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
Gini,0.05299997329711914,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
Random,0.0339999794960022,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.050999999046325684,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
LSA,0.05232501029968262,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.05580002069473266,4000,0.1,4000,ORI,0,LeNet5,mnist,mnist_LeNet5
