name,all,cur_select_size,cur_size_ratio,effect_len,mop,i,model_name,data_name,pair_name
LSA,0.049049973487854,3000,0.075,2594,RG,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.051349997520446784,4000,0.1,2813,RG,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.05402499437332153,4000,0.1,3991,RG,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.05502498149871826,4000,0.1,3995,RG,0,LeNet5,mnist,mnist_LeNet5
CES,0.036449968814849854,4000,0.1,3283,RG,0,LeNet5,mnist,mnist_LeNet5
Gini,0.015025019645690918,4000,0.1,49,RG,0,LeNet5,mnist,mnist_LeNet5
Random,0.03527498245239258,4000,0.1,3319,RG,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.01757502555847168,4000,0.1,166,RG,0,LeNet5,mnist,mnist_LeNet5
LSA,0.05339998006820679,4000,0.1,3447,RG,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.035974979400634766,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.03509998321533203,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.03385001420974732,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
CES,0.019900023937225345,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
Gini,0.03392499685287476,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
Random,0.022350013256073,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.032724976539611816,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
LSA,0.0319250226020813,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.04869997501373291,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.04532498121261597,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.04565000534057617,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
CES,0.03017497062683105,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
Gini,0.042150020599365234,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
Random,0.026024997234344482,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.04600000381469727,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
LSA,0.04280000925064087,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.05264997482299805,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.049749970436096184,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.053274989128112786,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
CES,0.032674968242645264,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
Gini,0.050249993801116936,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
Random,0.03345000743865967,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.052200019359588616,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
LSA,0.05089998245239258,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.05570000410079956,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.05594998598098755,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.05594998598098755,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
CES,0.03647500276565552,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
Gini,0.055149972438812256,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
Random,0.035374999046325684,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.05592501163482666,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
LSA,0.05390000343322754,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.02702498435974121,1000,0.025,480,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.03577500581741333,1000,0.025,815,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.030449986457824707,1000,0.025,736,IR,0,LeNet5,mnist,mnist_LeNet5
CES,0.021099984645843502,1000,0.025,814,IR,0,LeNet5,mnist,mnist_LeNet5
Gini,0.015275001525878906,1000,0.025,79,IR,0,LeNet5,mnist,mnist_LeNet5
Random,0.019550025463104248,1000,0.025,854,IR,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.017799973487854004,1000,0.025,120,IR,0,LeNet5,mnist,mnist_LeNet5
LSA,0.0345500111579895,1000,0.025,860,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.037199974060058594,2000,0.05,1131,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.043224990367889404,2000,0.05,1639,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.04432499408721924,2000,0.05,1526,IR,0,LeNet5,mnist,mnist_LeNet5
CES,0.02445000410079956,2000,0.05,1617,IR,0,LeNet5,mnist,mnist_LeNet5
Gini,0.02114999294281006,2000,0.05,263,IR,0,LeNet5,mnist,mnist_LeNet5
Random,0.02574998140335083,2000,0.05,1689,IR,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.02322500944137573,2000,0.05,353,IR,0,LeNet5,mnist,mnist_LeNet5
LSA,0.04210001230239868,2000,0.05,1643,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.04509997367858887,3000,0.075,1775,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.04922497272491455,3000,0.075,2465,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.04815000295639038,3000,0.075,2403,IR,0,LeNet5,mnist,mnist_LeNet5
CES,0.03224998712539673,3000,0.075,2424,IR,0,LeNet5,mnist,mnist_LeNet5
Gini,0.026825010776519772,3000,0.075,513,IR,0,LeNet5,mnist,mnist_LeNet5
Random,0.03062498569488525,3000,0.075,2525,IR,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.032124996185302734,3000,0.075,620,IR,0,LeNet5,mnist,mnist_LeNet5
LSA,0.04867500066757202,3000,0.075,2399,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.04930001497268677,4000,0.1,2395,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.05570000410079956,4000,0.1,3335,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.05272501707077026,4000,0.1,3273,IR,0,LeNet5,mnist,mnist_LeNet5
CES,0.03415000438690185,4000,0.1,3225,IR,0,LeNet5,mnist,mnist_LeNet5
Gini,0.031099975109100345,4000,0.1,786,IR,0,LeNet5,mnist,mnist_LeNet5
Random,0.03307497501373291,4000,0.1,3360,IR,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.0347750186920166,4000,0.1,974,IR,0,LeNet5,mnist,mnist_LeNet5
LSA,0.053250014781951904,4000,0.1,3168,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.025825023651123047,1000,0.025,404,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.03245002031326294,1000,0.025,615,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.02424997091293335,1000,0.025,379,CR,0,LeNet5,mnist,mnist_LeNet5
CES,0.02130001783370972,1000,0.025,799,CR,0,LeNet5,mnist,mnist_LeNet5
Gini,0.013000011444091795,1000,0.025,10,CR,0,LeNet5,mnist,mnist_LeNet5
Random,0.020974993705749508,1000,0.025,865,CR,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.014249980449676512,1000,0.025,19,CR,0,LeNet5,mnist,mnist_LeNet5
LSA,0.020600020885467533,1000,0.025,281,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.03759998083114624,2000,0.05,1000,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.04012501239776611,2000,0.05,1217,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.03175002336502075,2000,0.05,825,CR,0,LeNet5,mnist,mnist_LeNet5
CES,0.025874972343444824,2000,0.05,1596,CR,0,LeNet5,mnist,mnist_LeNet5
Gini,0.014549970626831056,2000,0.05,58,CR,0,LeNet5,mnist,mnist_LeNet5
Random,0.025574982166290283,2000,0.05,1694,CR,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.016499996185302734,2000,0.05,104,CR,0,LeNet5,mnist,mnist_LeNet5
LSA,0.030875027179718018,2000,0.05,739,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.04374998807907105,3000,0.075,1615,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.04417496919631958,3000,0.075,1746,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.0407249927520752,3000,0.075,1440,CR,0,LeNet5,mnist,mnist_LeNet5
CES,0.029850006103515625,3000,0.075,2387,CR,0,LeNet5,mnist,mnist_LeNet5
Gini,0.018324971199035645,3000,0.075,207,CR,0,LeNet5,mnist,mnist_LeNet5
Random,0.02932500839233398,3000,0.075,2511,CR,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.022350013256073,3000,0.075,290,CR,0,LeNet5,mnist,mnist_LeNet5
LSA,0.038450002670288086,3000,0.075,1248,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.04869997501373291,4000,0.1,2208,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.048299968242645264,4000,0.1,2217,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.04812496900558472,4000,0.1,2146,CR,0,LeNet5,mnist,mnist_LeNet5
CES,0.035425007343292236,4000,0.1,3180,CR,0,LeNet5,mnist,mnist_LeNet5
Gini,0.02249997854232788,4000,0.1,411,CR,0,LeNet5,mnist,mnist_LeNet5
Random,0.03637498617172241,4000,0.1,3331,CR,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.0277249813079834,4000,0.1,543,CR,0,LeNet5,mnist,mnist_LeNet5
LSA,0.04567497968673706,4000,0.1,1813,CR,0,LeNet5,mnist,mnist_LeNet5
NAC,0.017400026321411133,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.021275043487548828,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
NBC,0.019700050354003903,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.019200026988983158,1000,0.025,1000,ORI,0,LeNet5,mnist,mnist_LeNet5
NAC,0.02485001087188721,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.028850018978118893,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
NBC,0.02615004777908325,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.029000043869018555,2000,0.05,2000,ORI,0,LeNet5,mnist,mnist_LeNet5
NAC,0.02957504987716675,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.032325029373168945,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
NBC,0.032550036907196045,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.03350001573562622,3000,0.075,3000,ORI,0,LeNet5,mnist,mnist_LeNet5
NAC,0.032250046730041504,4000,0.1,4000,ORI,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.03577500581741333,4000,0.1,4000,ORI,0,LeNet5,mnist,mnist_LeNet5
NBC,0.03615003824234009,4000,0.1,4000,ORI,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.03615003824234009,4000,0.1,4000,ORI,0,LeNet5,mnist,mnist_LeNet5
NAC,0.01862502098083496,1000,0.025,851,RG,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.023950040340423584,1000,0.025,831,RG,0,LeNet5,mnist,mnist_LeNet5
NBC,0.017725050449371338,1000,0.025,847,RG,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.02015000581741333,1000,0.025,832,RG,0,LeNet5,mnist,mnist_LeNet5
NAC,0.027675032615661618,2000,0.05,1704,RG,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.028575003147125244,2000,0.05,1686,RG,0,LeNet5,mnist,mnist_LeNet5
NBC,0.026549994945526127,2000,0.05,1687,RG,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.02435004711151123,2000,0.05,1665,RG,0,LeNet5,mnist,mnist_LeNet5
NAC,0.029624998569488525,3000,0.075,2551,RG,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.029475033283233643,3000,0.075,2519,RG,0,LeNet5,mnist,mnist_LeNet5
NBC,0.029750049114227295,3000,0.075,2528,RG,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.03032499551773072,3000,0.075,2499,RG,0,LeNet5,mnist,mnist_LeNet5
NAC,0.035650014877319336,4000,0.1,3381,RG,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.034624993801116936,4000,0.1,3358,RG,0,LeNet5,mnist,mnist_LeNet5
NBC,0.03392499685287476,4000,0.1,3354,RG,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.034875035285949714,4000,0.1,3345,RG,0,LeNet5,mnist,mnist_LeNet5
NAC,0.01877504587173462,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.023275017738342285,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
NBC,0.019225001335144043,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.019175052642822262,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
NAC,0.027850031852722168,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.03010004758834839,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
NBC,0.02662503719329834,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.028500020503997806,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
NAC,0.03325003385543823,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.03320002555847168,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
NBC,0.030050039291381836,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.03447502851486206,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
NAC,0.03652501106262207,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.03727501630783081,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
NBC,0.036175012588500984,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.035575032234191895,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
NAC,0.019200026988983158,1000,0.025,853,IR,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.023650050163269043,1000,0.025,825,IR,0,LeNet5,mnist,mnist_LeNet5
NBC,0.018675029277801517,1000,0.025,847,IR,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.020025014877319336,1000,0.025,832,IR,0,LeNet5,mnist,mnist_LeNet5
NAC,0.02557504177093506,2000,0.05,1706,IR,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.026875019073486328,2000,0.05,1680,IR,0,LeNet5,mnist,mnist_LeNet5
NBC,0.02577501535415649,2000,0.05,1687,IR,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.025275051593780518,2000,0.05,1665,IR,0,LeNet5,mnist,mnist_LeNet5
NAC,0.02977502346038818,3000,0.075,2553,IR,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.03200000524520874,3000,0.075,2511,IR,0,LeNet5,mnist,mnist_LeNet5
NBC,0.029900014400482174,3000,0.075,2529,IR,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.03027504682540894,3000,0.075,2500,IR,0,LeNet5,mnist,mnist_LeNet5
NAC,0.03290003538131714,4000,0.1,3382,IR,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.03395003080368042,4000,0.1,3351,IR,0,LeNet5,mnist,mnist_LeNet5
NBC,0.03342503309249878,4000,0.1,3355,IR,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.03352504968643188,4000,0.1,3345,IR,0,LeNet5,mnist,mnist_LeNet5
NAC,0.020950019359588627,1000,0.025,852,CR,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.022900044918060303,1000,0.025,804,CR,0,LeNet5,mnist,mnist_LeNet5
NBC,0.017750024795532227,1000,0.025,844,CR,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.01895004510879517,1000,0.025,829,CR,0,LeNet5,mnist,mnist_LeNet5
NAC,0.025674998760223392,2000,0.05,1705,CR,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.027750015258789062,2000,0.05,1660,CR,0,LeNet5,mnist,mnist_LeNet5
NBC,0.02737504243850708,2000,0.05,1684,CR,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.02615004777908325,2000,0.05,1663,CR,0,LeNet5,mnist,mnist_LeNet5
NAC,0.030050039291381836,3000,0.075,2552,CR,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.03222501277923584,3000,0.075,2492,CR,0,LeNet5,mnist,mnist_LeNet5
NBC,0.030375003814697262,3000,0.075,2526,CR,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.02950000762939453,3000,0.075,2497,CR,0,LeNet5,mnist,mnist_LeNet5
NAC,0.03339999914169312,4000,0.1,3381,CR,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.033975005149841316,4000,0.1,3331,CR,0,LeNet5,mnist,mnist_LeNet5
NBC,0.03460001945495605,4000,0.1,3353,CR,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.03402501344680786,4000,0.1,3342,CR,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.038299977779388435,1000,0.025,1000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDAC,0.034850001335144036,1000,0.025,1000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDAC_2,0.035524964332580566,1000,0.025,1000,ORI,0,LeNet1,mnist,mnist_LeNet1
CES,0.017399966716766357,1000,0.025,1000,ORI,0,LeNet1,mnist,mnist_LeNet1
Gini,0.03512495756149292,1000,0.025,1000,ORI,0,LeNet1,mnist,mnist_LeNet1
Random,0.019999980926513672,1000,0.025,1000,ORI,0,LeNet1,mnist,mnist_LeNet1
MAX_P,0.03757500648498535,1000,0.025,1000,ORI,0,LeNet1,mnist,mnist_LeNet1
LSA,0.03339999914169312,1000,0.025,1000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDiv,0.04924994707107544,2000,0.05,2000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDAC,0.045199990272521966,2000,0.05,2000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDAC_2,0.046724975109100335,2000,0.05,2000,ORI,0,LeNet1,mnist,mnist_LeNet1
CES,0.021774947643280033,2000,0.05,2000,ORI,0,LeNet1,mnist,mnist_LeNet1
Gini,0.04697495698928833,2000,0.05,2000,ORI,0,LeNet1,mnist,mnist_LeNet1
Random,0.027924954891204837,2000,0.05,2000,ORI,0,LeNet1,mnist,mnist_LeNet1
MAX_P,0.04682499170303345,2000,0.05,2000,ORI,0,LeNet1,mnist,mnist_LeNet1
LSA,0.04544997215270996,2000,0.05,2000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDiv,0.053274989128112786,3000,0.075,3000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDAC,0.05069994926452637,3000,0.075,3000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDAC_2,0.05197495222091675,3000,0.075,3000,ORI,0,LeNet1,mnist,mnist_LeNet1
CES,0.024949967861175537,3000,0.075,3000,ORI,0,LeNet1,mnist,mnist_LeNet1
Gini,0.053124964237213135,3000,0.075,3000,ORI,0,LeNet1,mnist,mnist_LeNet1
Random,0.03519999980926514,3000,0.075,3000,ORI,0,LeNet1,mnist,mnist_LeNet1
MAX_P,0.053274989128112786,3000,0.075,3000,ORI,0,LeNet1,mnist,mnist_LeNet1
LSA,0.04847496747970581,3000,0.075,3000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDiv,0.05859994888305664,4000,0.1,4000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDAC,0.054699957370758064,4000,0.1,4000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDAC_2,0.05649995803833008,4000,0.1,4000,ORI,0,LeNet1,mnist,mnist_LeNet1
CES,0.026775002479553226,4000,0.1,4000,ORI,0,LeNet1,mnist,mnist_LeNet1
Gini,0.057624995708465576,4000,0.1,4000,ORI,0,LeNet1,mnist,mnist_LeNet1
Random,0.039024949073791504,4000,0.1,4000,ORI,0,LeNet1,mnist,mnist_LeNet1
MAX_P,0.05752497911453248,4000,0.1,4000,ORI,0,LeNet1,mnist,mnist_LeNet1
LSA,0.052899956703186035,4000,0.1,4000,ORI,0,LeNet1,mnist,mnist_LeNet1
DeepDiv,0.031099975109100345,1000,0.025,625,RG,0,LeNet1,mnist,mnist_LeNet1
DeepDAC,0.03487497568130493,1000,0.025,996,RG,0,LeNet1,mnist,mnist_LeNet1
DeepDAC_2,0.03489995002746582,1000,0.025,999,RG,0,LeNet1,mnist,mnist_LeNet1
CES,0.013724982738494871,1000,0.025,973,RG,0,LeNet1,mnist,mnist_LeNet1
Gini,0.00484997034072876,1000,0.025,25,RG,0,LeNet1,mnist,mnist_LeNet1
Random,0.017949998378753662,1000,0.025,825,RG,0,LeNet1,mnist,mnist_LeNet1
MAX_P,0.009749948978424072,1000,0.025,47,RG,0,LeNet1,mnist,mnist_LeNet1
LSA,0.0281749963760376,1000,0.025,615,RG,0,LeNet1,mnist,mnist_LeNet1
