name,all,cur_select_size,cur_size_ratio,effect_len,mop,i,model_name,data_name,pair_name
LSA,0.050750017166137695,3000,0.075,2609,RG,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.05077499151229858,4000,0.1,2844,RG,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.05524998903274536,4000,0.1,3985,RG,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.05427497625350952,4000,0.1,3994,RG,0,LeNet5,mnist,mnist_LeNet5
CES,0.03312498331069946,4000,0.1,3282,RG,0,LeNet5,mnist,mnist_LeNet5
Gini,0.013400018215179443,4000,0.1,46,RG,0,LeNet5,mnist,mnist_LeNet5
Random,0.03750002384185791,4000,0.1,3301,RG,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.018400013446807858,4000,0.1,157,RG,0,LeNet5,mnist,mnist_LeNet5
LSA,0.05369997024536133,4000,0.1,3452,RG,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.03697502613067627,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.03425002098083496,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.0344499945640564,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
CES,0.019999980926513672,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
Gini,0.03200000524520874,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
Random,0.022374987602233887,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.032124996185302734,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
LSA,0.03380000591278076,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.047074973583221436,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.04397499561309815,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.04602497816085816,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
CES,0.029649972915649414,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
Gini,0.043924987316131585,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
Random,0.029375016689300537,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.0465499758720398,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
LSA,0.04514998197555542,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.05202502012252808,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.049749970436096184,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.050700008869171136,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
CES,0.0342249870300293,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
Gini,0.04919999837875366,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
Random,0.032700002193450935,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.053475022315979004,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
LSA,0.04907500743865967,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.05517500638961792,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.054075002670288086,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.054600000381469734,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
CES,0.037199974060058594,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
Gini,0.056524991989135735,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
Random,0.03630000352859497,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.055774986743927,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
LSA,0.055424988269805915,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.025874972343444824,1000,0.025,459,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.03425002098083496,1000,0.025,804,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.02995002269744873,1000,0.025,714,IR,0,LeNet5,mnist,mnist_LeNet5
CES,0.020974993705749508,1000,0.025,810,IR,0,LeNet5,mnist,mnist_LeNet5
Gini,0.014500021934509276,1000,0.025,92,IR,0,LeNet5,mnist,mnist_LeNet5
Random,0.017400026321411133,1000,0.025,818,IR,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.018024981021881104,1000,0.025,126,IR,0,LeNet5,mnist,mnist_LeNet5
LSA,0.03357499837875366,1000,0.025,840,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.038775026798248284,2000,0.05,1125,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.043775022029876716,2000,0.05,1609,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.0431249737739563,2000,0.05,1515,IR,0,LeNet5,mnist,mnist_LeNet5
CES,0.028800010681152344,2000,0.05,1627,IR,0,LeNet5,mnist,mnist_LeNet5
Gini,0.019550025463104248,2000,0.05,279,IR,0,LeNet5,mnist,mnist_LeNet5
Random,0.023599982261657715,2000,0.05,1671,IR,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.023000001907348636,2000,0.05,360,IR,0,LeNet5,mnist,mnist_LeNet5
LSA,0.04514998197555542,2000,0.05,1633,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.045424997806549065,3000,0.075,1766,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.04925000667572022,3000,0.075,2436,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC_2,0.0497249960899353,3000,0.075,2374,IR,0,LeNet5,mnist,mnist_LeNet5
CES,0.031875014305114746,3000,0.075,2426,IR,0,LeNet5,mnist,mnist_LeNet5
Gini,0.026574969291687008,3000,0.075,520,IR,0,LeNet5,mnist,mnist_LeNet5
Random,0.027100026607513428,3000,0.075,2504,IR,0,LeNet5,mnist,mnist_LeNet5
MAX_P,0.029649972915649414,3000,0.075,631,IR,0,LeNet5,mnist,mnist_LeNet5
LSA,0.046575009822845466,3000,0.075,2419,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDiv,0.0497249960899353,4000,0.1,2395,IR,0,LeNet5,mnist,mnist_LeNet5
DeepDAC,0.049775004386901855,4000,0.1,3308,IR,0,LeNet5,mnist,mnist_LeNet5
